image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path
2,1,6,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.4571456909179688,initial_label_local_verify_time,74.487506,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/000_all_labels_eran_run.log
2,1,7,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,74.487506,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/000_all_labels_eran_run.log
2,1,8,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,6.794405460357666,initial_label_local_verify_time,74.487506,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/000_all_labels_eran_run.log
2,1,9,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.8318710327148438,initial_label_local_verify_time,74.487506,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/000_all_labels_eran_run.log
2,1,2,0,0,10,0.75,10.0,True,False,0.5,single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,25.601364,rerun_attempt_runtime,25.601364,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/001_adv_label_2_eran_run.log
2,1,2,0,0,10,0.75,10.0,True,False,0.5,single_label_rerun,2,3,2,9,TIME_LIMIT,timeout,True,False,24.678061,rerun_attempt_runtime,24.678061,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/002_adv_label_2_eran_run.log
2,1,2,0,0,10,0.75,720000.0,True,False,0.5,single_label_rerun,3,4,3,6,CUTOFF,verified,False,False,3114.819625,rerun_attempt_runtime,3114.819625,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/003_adv_label_2_eran_run.log
2,1,3,0,0,10,0.75,10.0,True,False,0.5,single_label_rerun,4,2,1,9,TIME_LIMIT,timeout,True,False,25.683485,rerun_attempt_runtime,25.683485,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/004_adv_label_3_eran_run.log
2,1,3,0,0,10,0.75,10.0,True,False,0.5,single_label_rerun,5,3,2,9,TIME_LIMIT,timeout,True,False,24.818924,rerun_attempt_runtime,24.818924,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/005_adv_label_3_eran_run.log
2,1,3,0,0,10,0.75,720000.0,True,False,0.5,single_label_rerun,6,4,3,6,CUTOFF,verified,False,False,40.50337,rerun_attempt_runtime,40.50337,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/006_adv_label_3_eran_run.log
2,1,7,0,0,10,0.75,10.0,True,False,0.5,single_label_rerun,7,2,1,9,TIME_LIMIT,timeout,True,False,25.210279,rerun_attempt_runtime,25.210279,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/007_adv_label_7_eran_run.log
2,1,7,0,0,10,0.75,10.0,True,False,0.5,single_label_rerun,8,3,2,9,TIME_LIMIT,timeout,True,False,24.314867,rerun_attempt_runtime,24.314867,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/008_adv_label_7_eran_run.log
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,single_label_rerun,9,4,3,6,CUTOFF,verified,False,False,2771.598373,rerun_attempt_runtime,2771.598373,6151.715854,Verified,10,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_04_ub_0p75_timeouts_10_10_10_720000/009_adv_label_7_eran_run.log
