parameter,level,rows_with_level,pearson,abs_pearson,median_ratio_for_level,median_ratio_without_level,mean_ratio_for_level,mean_ratio_without_level
linear_constraint_matrix_vars,8772,3,-0.136962745893086,0.136962745893086,0.6602242455480435,0.9393785464962274,0.6240224352609014,1.0033739615597925
linear_constraint_matrix_vars_presolved,1908,3,-0.136962745893086,0.136962745893086,0.6602242455480435,0.9393785464962274,0.6240224352609014,1.0033739615597925
optimizer_presolve_removed_columns,6864,3,-0.136962745893086,0.136962745893086,0.6602242455480435,0.9393785464962274,0.6240224352609014,1.0033739615597925
optimizer_presolved_columns,1908,3,-0.136962745893086,0.136962745893086,0.6602242455480435,0.9393785464962274,0.6240224352609014,1.0033739615597925
linear_constraint_matrix_constrs_presolved,31572,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
linear_constraint_matrix_nzs,553375,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
linear_constraint_matrix_vars_presolved,1691,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
optimizer_presolved_columns,1691,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
optimizer_presolved_rows,31572,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
optimizer_presolved_variable_types_continuous,1218,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
variable_types_binary,505,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
variable_types_continuous,8173,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
variable_types_continuous_presolved,1218,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
variable_types_integer,505,2,-0.13608351470959829,0.13608351470959829,0.541981586142956,0.9382854654873012,0.541981586142956,1.0002986783017498
cutting_planes_cover,35.0,3,-0.13565458884473205,0.13565458884473205,0.6602242455480435,0.9393785464962274,0.6274947242347525,1.0032229924739728
cutting_planes_learned,<NA>,38,-0.135339959591278,0.135339959591278,0.9072244050011951,0.873278457131258,0.916713421612086,1.0667576656514446
optimizer_presolved_variable_types_continuous,1178,4,0.1336115096585986,0.1336115096585986,1.2126527013903543,0.9035539411937876,1.2924697296314855,0.9696322313953301
variable_types_continuous_presolved,1178,4,0.1336115096585986,0.1336115096585986,1.2126527013903543,0.9035539411937876,1.2924697296314855,0.9696322313953301
linear_constraint_matrix_constrs_presolved,54715,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
linear_constraint_matrix_nzs,725067,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
linear_constraint_matrix_vars_presolved,1978,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
optimizer_presolve_removed_columns,6884,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
optimizer_presolved_columns,1978,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
optimizer_presolved_rows,54715,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
rhs_coefficient_range_presolved,"[ 4.89465e-08, 22.2654 ]",2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
variable_types_binary,690,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
variable_types_integer,690,2,-0.13230844538580402,0.13230844538580402,0.5543425122748288,0.9382854654873012,0.5543425122748288,0.999945508983696
linear_constraint_matrix_constrs_presolved,54647,2,-0.12957824011950866,0.12957824011950866,0.563282180060216,0.9382854654873012,0.563282180060216,0.9996900899041137
optimizer_presolved_rows,54647,2,-0.12957824011950866,0.12957824011950866,0.563282180060216,0.9382854654873012,0.563282180060216,0.9996900899041137
variable_types_binary,475,5,-0.12827267383382335,0.12827267383382335,0.7208614166220593,0.9393785464962274,0.7276842092854524,1.006961934432554
variable_types_integer,475,5,-0.12827267383382335,0.12827267383382335,0.7208614166220593,0.9393785464962274,0.7276842092854524,1.006961934432554
rhs_coefficient_range_presolved,"[ 4.89465e-08, 22.2747 ]",3,-0.12802541300064524,0.12802541300064524,0.6602242455480435,0.9393785464962274,0.6477451239832576,1.0023425403109945
linear_constraint_matrix_constrs,76570,6,0.12695615092862467,0.12695615092862467,0.9031014016549349,0.9035539411937876,1.220613913118594,0.9663816238590428
linear_constraint_matrix_vars,8558,6,0.12695615092862467,0.12695615092862467,0.9031014016549349,0.9035539411937876,1.220613913118594,0.9663816238590428
optimizer_presolved_variable_types_binary,433,6,0.12695615092862467,0.12695615092862467,0.9031014016549349,0.9035539411937876,1.220613913118594,0.9663816238590428
optimizer_presolved_variable_types_integer,433,6,0.12695615092862467,0.12695615092862467,0.9031014016549349,0.9035539411937876,1.220613913118594,0.9663816238590428
variable_types_binary_presolved,433,6,0.12695615092862467,0.12695615092862467,0.9031014016549349,0.9035539411937876,1.220613913118594,0.9663816238590428
variable_types_integer_presolved,433,6,0.12695615092862467,0.12695615092862467,0.9031014016549349,0.9035539411937876,1.220613913118594,0.9663816238590428
cutting_planes_cover,6.0,4,-0.1261780547186766,0.1261780547186766,0.6288864101280304,0.9382854654873012,0.6996287447753474,1.0045052305045148
extra_simplex_iterations_after_uncrush,32,1,-0.12563852824389746,0.12563852824389746,0.4016398907108913,0.9371923844783748,0.4016398907108913,0.9958201515872888
