parameter,level,count,median,mean,min,max
variable_types_integer_presolved,473,6,0.5469211799261281,0.7289498601423166,0.47855247522674044,1.3910549204816598
cutting_planes_cover,45.0,1,0.5492816320456194,0.5492816320456194,0.5492816320456194,0.5492816320456194
extra_simplex_iterations_after_uncrush,172,1,0.5492816320456194,0.5492816320456194,0.5492816320456194,0.5492816320456194
extra_simplex_iterations_after_uncrush,15,1,0.5507842719988539,0.5507842719988539,0.5507842719988539,0.5507842719988539
linear_constraint_matrix_constrs_presolved,54715,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
linear_constraint_matrix_nzs,725067,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
linear_constraint_matrix_vars_presolved,1978,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
optimizer_presolve_removed_columns,6884,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
optimizer_presolved_columns,1978,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
optimizer_presolved_rows,54715,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
rhs_coefficient_range_presolved,"[ 4.89465e-08, 22.2654 ]",2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
variable_types_binary,690,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
variable_types_integer,690,2,0.5543425122748288,0.5543425122748288,0.4950158632328357,0.6136691613168218
cutting_planes_cover,40.0,1,0.5606117445583502,0.5606117445583502,0.5606117445583502,0.5606117445583502
extra_simplex_iterations_dual_to_original,29,1,0.5606117445583502,0.5606117445583502,0.5606117445583502,0.5606117445583502
linear_constraint_matrix_vars_presolved,1631,3,0.5606117445583502,0.6105319853766583,0.4016398907108913,0.8693443208607335
optimizer_presolved_columns,1631,3,0.5606117445583502,0.6105319853766583,0.4016398907108913,0.8693443208607335
linear_constraint_matrix_constrs,76590,3,0.5606117445583502,0.654509446000957,0.4016398907108913,1.0012767027336296
linear_constraint_matrix_vars,8618,3,0.5606117445583502,0.654509446000957,0.4016398907108913,1.0012767027336296
optimizer_presolved_variable_types_binary,453,3,0.5606117445583502,0.654509446000957,0.4016398907108913,1.0012767027336296
